Date,Rate
19-Nov-12,55.16
20-Nov-12,54.97
21-Nov-12,55.10
22-Nov-12,55.13
23-Nov-12,55.12
24-Nov-12,55.45
25-Nov-12,55.45
26-Nov-12,55.45
27-Nov-12,55.64
28-Nov-12,55.35
29-Nov-12,55.71
30-Nov-12,54.72
01-Dec-12,54.33
02-Dec-12,54.26
03-Dec-12,54.26
04-Dec-12,54.66
05-Dec-12,54.74
06-Dec-12,54.50
07-Dec-12,54.15
08-Dec-12,54.35
09-Dec-12,54.34
10-Dec-12,54.34
11-Dec-12,54.41
12-Dec-12,54.33
13-Dec-12,54.20
14-Dec-12,54.37
15-Dec-12,54.50
16-Dec-12,54.44
17-Dec-12,54.44
18-Dec-12,54.70
19-Dec-12,54.93
20-Dec-12,54.7
21-Dec-12,54.92
22-Dec-12,55.21
23-Dec-12,55.06
24-Dec-12,55.06
25-Dec-12,54.95
26-Dec-12,55.01
27-Dec-12,54.75
28-Dec-12,54.94
29-Dec-12,54.76
30-Dec-12,54.76
31-Dec-12,54.76
01-Jan-13,54.86
02-Jan-13,54.68
03-Jan-13,54.15
04-Jan-13,54.5
05-Jan-13,54.94
06-Jan-13,54.94
07-Jan-13,54.93
08-Jan-13,55.16
09-Jan-13,55.02
10-Jan-13,54.79
11-Jan-13,54.50
12-Jan-13,54.82
13-Jan-13,54.87
14-Jan-13,54.87
15-Jan-13,54.51
16-Jan-13,54.59
17-Jan-13,54.66
18-Jan-13,54.35
19-Jan-13,53.85
20-Jan-13,53.74
21-Jan-13,53.74
22-Jan-13,53.77
23-Jan-13,53.72
24-Jan-13,53.66
25-Jan-13,53.71
26-Jan-13,53.80
27-Jan-13,53.80
28-Jan-13,53.80
29-Jan-13,54.05
30-Jan-13,53.65
31-Jan-13,53.21
01-Feb-13,53.33
02-Feb-13,53.07
03-Feb-13,53.17
04-Feb-13,53.17
05-Feb-13,53.22
06-Feb-13,53.03
07-Feb-13,53.09
08-Feb-13,53.3
09-Feb-13,53.59
10-Feb-13,53.59
11-Feb-13,53.59
12-Feb-13,53.88
13-Feb-13,53.77
14-Feb-13,53.81
15-Feb-13,53.96
16-Feb-13,54.30
17-Feb-13,54.32
18-Feb-13,54.32
19-Feb-13,54.26
20-Feb-13,54.25
21-Feb-13,54.22
22-Feb-13,54.55
23-Feb-13,54.30
24-Feb-13,54.28
25-Feb-13,54.28
26-Feb-13,53.95
27-Feb-13,54.15
28-Feb-13,53.73
01-Mar-13,54.42
02-Mar-13,54.92
03-Mar-13,54.90
04-Mar-13,54.90
05-Mar-13,54.9
06-Mar-13,54.86
07-Mar-13,54.84
08-Mar-13,54.47
09-Mar-13,54.32
10-Mar-13,54.35
11-Mar-13,54.35
12-Mar-13,54.35
13-Mar-13,54.11
14-Mar-13,54.44
15-Mar-13,54.20
16-Mar-13,54.03
17-Mar-13,54.03
18-Mar-13,54.03
19-Mar-13,54.07
20-Mar-13,54.46
21-Mar-13,54.39
22-Mar-13,54.39
23-Mar-13,54.39
24-Mar-13,54.35
25-Mar-13,54.35
26-Mar-13,54.34
27-Mar-13,54.48
28-Mar-13,54.43
29-Mar-13,54.28
30-Mar-13,54.28
31-Mar-13,54.28
01-Apr-13,54.28
02-Apr-13,54.34
03-Apr-13,54.43
04-Apr-13,54.52
05-Apr-13,54.89
06-Apr-13,54.69
07-Apr-13,54.81
08-Apr-13,54.81
09-Apr-13,54.56
10-Apr-13,54.48
11-Apr-13,54.46
12-Apr-13,54.26
13-Apr-13,54.54
14-Apr-13,54.52
15-Apr-13,54.52
16-Apr-13,54.48
17-Apr-13,53.98
18-Apr-13,54.19
19-Apr-13,53.97
20-Apr-13,53.96
21-Apr-13,53.94
22-Apr-13,53.94
23-Apr-13,54.20
24-Apr-13,54.30
25-Apr-13,54.27
26-Apr-13,54.17
27-Apr-13,54.35
28-Apr-13,54.38
29-Apr-13,54.38
30-Apr-13,54.20
01-May-13,53.68
02-May-13,53.69
03-May-13,53.84
04-May-13,53.81
05-May-13,53.81
06-May-13,53.81
07-May-13,54.15
08-May-13,54.05
09-May-13,54.09
10-May-13,54.36
11-May-13,54.87
12-May-13,54.81
13-May-13,54.81
14-May-13,54.84
15-May-13,54.75
16-May-13,54.78
17-May-13,54.73
18-May-13,54.88
19-May-13,54.89
20-May-13,54.89
21-May-13,55.04
22-May-13,55.43
23-May-13,55.66
24-May-13,55.71
25-May-13,55.82
26-May-13,55.82
27-May-13,55.82
28-May-13,55.57
29-May-13,56.13
30-May-13,56.28
31-May-13,56.38
01-Jun-13,56.58
02-Jun-13,56.56
03-Jun-13,56.58
04-Jun-13,56.67
05-Jun-13,56.55
06-Jun-13,56.85
07-Jun-13,56.93
08-Jun-13,57.06
09-Jun-13,57.06
10-Jun-13,57.06
11-Jun-13,58.22
12-Jun-13,58.34
13-Jun-13,57.83
14-Jun-13,58.00
15-Jun-13,57.62
16-Jun-13,57.50
17-Jun-13,57.50
18-Jun-13,57.97
19-Jun-13,58.84
20-Jun-13,58.72
21-Jun-13,59.57
22-Jun-13,59.27
23-Jun-13,59.27
24-Jun-13,59.27
25-Jun-13,59.81
26-Jun-13,59.66
27-Jun-13,60.72
28-Jun-13,60.19
29-Jun-13,59.53
30-Jun-13,59.53
01-Jul-13,59.53
02-Jul-13,59.4
03-Jul-13,59.55
04-Jul-13,60.22
05-Jul-13,60.02
06-Jul-13,60.98
07-Jul-13,60.23
08-Jul-13,60.23
09-Jul-13,60.69
10-Jul-13,60.10
11-Jul-13,59.7
12-Jul-13,59.8
13-Jul-13,59.89
14-Jul-13,59.89
15-Jul-13,59.89
16-Jul-13,59.62
17-Jul-13,58.97
18-Jul-13,59.32
19-Jul-13,59.69
20-Jul-13,59.39
21-Jul-13,59.34
22-Jul-13,59.34
23-Jul-13,59.72
24-Jul-13,59.4
25-Jul-13,59.34
26-Jul-13,59.03
27-Jul-13,59.09
28-Jul-13,59.04
29-Jul-13,59.04
30-Jul-13,59.27
31-Jul-13,60.89
01-Aug-13,60.97
02-Aug-13,60.60
03-Aug-13,61.11
04-Aug-13,61.10
05-Aug-13,61.10
06-Aug-13,60.86
07-Aug-13,60.79
08-Aug-13,61.24
09-Aug-13,60.73
10-Aug-13,60.67
11-Aug-13,60.67
12-Aug-13,60.67
13-Aug-13,61.24
14-Aug-13,61.43
15-Aug-13,61.29
16-Aug-13,61.36
17-Aug-13,62.55
18-Aug-13,61.66
19-Aug-13,61.66
20-Aug-13,63.85
